Arcitectural Category	Publicity	Instruction Name	Operand Format	Op_A	OP_B	Op_C	Op_D	Op_EJ	Op_FK	Op_G	Instruction Code[31:0]	Source Register	Register Read Stage	Register Read Stage G3MH	Destination Register	Register Available Stage	Register Available Stage G3MH	Register Available Stage G3KH	Write Back Stage	Parallel Group	Parallel Group Changed	Parallel Group G3KH	Fusion Instruction Type	ID divided	RN divided	DP divided	WB divided	EX issue limit	CM limit	Instruction Group V850	Issue Rate	Issue Rate G3MH	Issue Rate G3KH	Cycle Calculation Type	Load Type	RS resource1	RS resource2	EX resource1	EX resource2	PSW.CC Dependency	dummy	Branch Type	Branch Type G3MH	Branch Type G3KH	Privilege Type	Copro Type	Mei instruction type	Mdp exception code bit	Library Function Name	Instruction Size	Decode Type	Argument Type	Note
V850		add reg1,reg2	add R[4:0],R[15:11]	rrrrr	001110	RRRRR	-----	------	-----		----------------rrrrr001110RRRRR	REG2/REG1	1/1		REG2	1				1_2		1_1	ALU1ST_MOV2ND							AL	1					INT		INT		SET									ADD	16	B-	R1_R2	
V850		add imm5,reg2	add5 I[4:0],R[15:11]	rrrrr	010010	iiiii	-----	------	-----		----------------rrrrr010010iiiii	REG2	1		REG2	1				1_2		1_1	ALU1ST_MOV2ND							AL	1					INT		INT		SET									ADD_I5	16	B-	R2	
V850		addi imm16,reg1,reg2	addi I[31:16],R[4:0],R[15:11]	rrrrr	110000	RRRRR	iiiii	iiiiii	iiiii		iiiiiiiiiiiiiiiirrrrr110000RRRRR	REG1	1		REG2	1				1_2										AL	1					INT		INT		SET									ADD_I16	32	B-	R1_R2	
V850		adf cccc,reg1,reg2,reg3	adf C[20:17],R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01110	1cccc0		wwwww011101cccc0rrrrr111111RRRRR	REG2/REG1	1/1		REG3	1				8_1										ALC	1					INT		INT		SET_USE									ADF	32	BWJ-	R1_R2_R3	cccc!=1101
V850		and reg1,reg2	and R[4:0],R[15:11]	rrrrr	001010	RRRRR	-----	------	-----		----------------rrrrr001010RRRRR	REG2/REG1	1/1		REG2	1				1_2		1_2	ALU1ST_MOV2ND							LOG	1					INT		INT		SET									AND	16	B-	R1_R2	
V850		andi imm16,reg1,reg2	andi IU[31:16],R[4:0],R[15:11]	rrrrr	110110	RRRRR	iiiii	iiiiii	iiiii		iiiiiiiiiiiiiiiirrrrr110110RRRRR	REG1	1		REG2	1				1_2										LOG	1					INT		INT		SET									ANDI	32	B-	R1_R2	
V850		bcond disp9	bcc9 BD[15:11.6:4]<<1	ddddd	1011dd	dCCCC	-----	------	-----		----------------ddddd1011dddCCCC									1_4	1_3	3_2	ALU2ND					BRU		BRA	6	6	1	GRP_UNC		INT		BRU		USE		BP							BCOND_D9	16	BC-	NONE	
V850		bcond disp17	bcc17 BD[4:4.31:17]<<1	00000	111111	dCCCC	ddddd	ddddd	ddddd1		ddddddddddddddd100000111111dCCCC									1_4	1_3	3_2						BRU		BRA	6	6	1	GRP_UNC		INT		BRU		USE		BP							BCOND_D17	32	BKa-	NONE	
V850		binsl reg1,pos,width,reg2	binsl R[4:0],P[27.19:17],W[31:28],R[15:11]	rrrrr	111111	RRRRR	MMMML	00011	01LLL0		MMMML0001101LLL0rrrrr111111RRRRR	REG2/REG1	1/1		REG2	1				2_1										SHI	1					INT		INT		SET									BINSL	32	BKJ-	R1_R2	
V850		binsm reg1,pos,width,reg2	binsm R[4:0],P[27.19:17],W[31:28],R[15:11]	rrrrr	111111	RRRRR	MMMML	00010	11LLL0		MMMML0001011LLL0rrrrr111111RRRRR	REG2/REG1	1/1		REG2	1				2_1										SHI	1					INT		INT		SET									BINSM	32	BKJ-	R1_R2	
